date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:53:45	178/178	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2030%20May%202019%2007:23:44%20GMT	https://college.pardeepsingh.tk/robots.txt		(from )
12:53:45	75843/75843	---M--	200	added ('OK')	text/html	etag:%225cd8683c-12843%22	https://college.pardeepsingh.tk/	E:/mywebsite/web1/college.pardeepsingh.tk/index.html	(from )
12:54:10	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4939-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	E:/mywebsite/web1/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://college.pardeepsingh.tk/)
12:54:13	55111/55111	---MCZ	200	added ('OK')	text/css	etag:W/%22e4c542a7f6bf6f74fdd8cdf6e8096396%22	https://use.fontawesome.com/releases/v5.8.1/css/all.css	E:/mywebsite/web1/use.fontawesome.com/releases/v5.8.1/css/all.css	(from https://college.pardeepsingh.tk/)
12:54:14	178/178	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2030%20May%202019%2007:24:13%20GMT	https://college.pardeepsingh.tk/home	E:/mywebsite/web1/college.pardeepsingh.tk/home.3.delayed	(from https://college.pardeepsingh.tk/)
12:54:14	87434/87434	---M--	200	added ('OK')	text/css	etag:%225cd8683c-1558a%22	https://college.pardeepsingh.tk/sites/default/files/css/css_J2gBiCgKL6adcm5eCMFQOSuYxa5arn8-Ric-1W-a5hc.css	E:/mywebsite/web1/college.pardeepsingh.tk/sites/default/files/css/css_J2gBiCgKL6adcm5eCMFQOSuYxa5arn8-Ric-1W-a5hc.css	(from https://college.pardeepsingh.tk/)
12:54:16	178/178	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2030%20May%202019%2007:24:15%20GMT	https://college.pardeepsingh.tk/apple-touch-icon.png	E:/mywebsite/web1/college.pardeepsingh.tk/apple-touch-icon.png	(from https://college.pardeepsingh.tk/)
12:54:16	268482/268482	---M--	200	added ('OK')	text/css	etag:%225cd8683c-418c2%22	https://college.pardeepsingh.tk/sites/default/files/css/css_mUjGC4PwVMVFgu8W07ASkbDHGJv2aEyLRqEBnuPHMCM.css	E:/mywebsite/web1/college.pardeepsingh.tk/sites/default/files/css/css_mUjGC4PwVMVFgu8W07ASkbDHGJv2aEyLRqEBnuPHMCM.css	(from https://college.pardeepsingh.tk/)
12:54:16	178/178	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2030%20May%202019%2007:24:16%20GMT	https://college.pardeepsingh.tk/site.webmanifest	E:/mywebsite/web1/college.pardeepsingh.tk/site.webmanifest	(from https://college.pardeepsingh.tk/)
12:54:16	178/178	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2030%20May%202019%2007:24:16%20GMT	https://college.pardeepsingh.tk/safari-pinned-tab.svg	E:/mywebsite/web1/college.pardeepsingh.tk/safari-pinned-tab.svg	(from https://college.pardeepsingh.tk/)
12:54:18	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2030%20May%202019%2007:24:16%20GMT	http://www.googletagmanager.com/gtm.js?id=	E:/mywebsite/web1/www.googletagmanager.com/gtm.95445.delayed	(from https://college.pardeepsingh.tk/)
